line_no,col_offset,type,name,file_name
233,43,BinOp,"(<_ast.BinOp object at 0x805249950>, <_ast.Add object at 0x80101f750>, <_ast.Str object at 0x805249610>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
235,4,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
235,4,call,logger.debug,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
235,17,BinOp,"(<_ast.Str object at 0x805249910>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x805249290>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
238,8,Assign,"([<_ast.Name object at 0x8052492d0>], <_ast.Call object at 0x805249050>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
238,25,call,latex_expr_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
240,8,Assign,"([<_ast.Name object at 0x805249750>], <_ast.Call object at 0x805249a90>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
240,25,call,latex_expr_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
242,8,Assign,"([<_ast.Name object at 0x805249ad0>], <_ast.Call object at 0x8052567d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
242,25,call,latex_expr_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
244,8,Assign,"([<_ast.Name object at 0x805256390>], <_ast.Call object at 0x805256990>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
244,25,call,latex_expr_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
